date,home_team,away_team,home_win_rate,away_win_rate,home_goal_diff,away_goal_diff,home_points,away_points
2021-06-23 22:00:00+00:00,Flamengo,Fortaleza EC,0.5526315789473685,0.4473684210526316,33,-1,71,58
2021-06-23 22:00:00+00:00,Atletico Goianiense,Fluminense,0.34210526315789475,0.39473684210526316,-3,0,53,54
2021-06-23 22:00:00+00:00,RB Bragantino,Palmeiras,0.3684210526315789,0.5263157894736842,9,15,56,66
2021-06-24 19:00:00+00:00,America Mineiro,Juventude,0.34210526315789475,0.2894736842105263,4,-8,53,46
2021-06-24 22:00:00+00:00,Ceara,Atletico-MG,0.2894736842105263,0.6842105263157895,1,33,50,84
2021-06-24 22:00:00+00:00,Corinthians,Sport Recife,0.39473684210526316,0.23684210526315788,4,-13,57,38
2021-06-24 22:00:00+00:00,Chapecoense-sc,Internacional,0.02631578947368421,0.3157894736842105,-40,2,15,48
2021-06-25 00:30:00+00:00,Bahia,Atletico Paranaense,0.2894736842105263,0.34210526315789475,-9,-4,43,47
2021-06-25 00:30:00+00:00,Gremio,Santos,0.3157894736842105,0.3157894736842105,-7,-5,43,50
2021-06-27 14:00:00+00:00,Juventude,Flamengo,0.2894736842105263,0.5526315789473685,-8,33,46,71
2021-06-27 19:00:00+00:00,Fluminense,Corinthians,0.39473684210526316,0.39473684210526316,0,4,54,57
2021-06-27 23:00:00+00:00,Palmeiras,Bahia,0.5263157894736842,0.2894736842105263,15,-9,66,43
2021-06-27 23:00:00+00:00,Gremio,Fortaleza EC,0.3157894736842105,0.4473684210526316,-7,-1,43,58
2021-06-27 23:00:00+00:00,Atletico Paranaense,Chapecoense-sc,0.34210526315789475,0.02631578947368421,-4,-40,47,15
2021-06-27 23:30:00+00:00,Sport Recife,Cuiaba,0.23684210526315788,0.2631578947368421,-13,-3,38,47
2021-06-27 23:30:00+00:00,America Mineiro,Internacional,0.34210526315789475,0.3157894736842105,4,2,53,48
2021-06-27 23:30:00+00:00,Santos,Atletico-MG,0.3157894736842105,0.6842105263157895,-5,33,50,84
